Id;X;Y;Z
34;-6.3806382013753371e+01;4.6358051390168626e+01;6.1479075185151046e+01
35;-4.5597923016434578e+01;5.8437005982336196e+01;6.7126341687952191e+01
36;-2.2252862946460407e+01;6.8487271916020148e+01;6.9385183405300367e+01
37;2.5410855728900072e+00;7.4078317597768574e+01;6.7126341669983631e+01
38;-5.0653556505165810e+01;3.6801964026970445e+01;7.7973281687611092e+01
39;-2.9129376035587416e+01;4.7323541212536391e+01;8.3138209620382824e+01
40;-4.2499184278901341e+00;5.5407366798588995e+01;8.3138209613888719e+01
41;-3.3769037670110528e+01;2.4534642684646968e+01;9.0871906567273868e+01
42;-1.0764209374619535e+01;3.3128830936237073e+01;9.3736931661632568e+01
43;-1.5951595503438343e+01;1.1589512847542156e+01;9.8036879758850645e+01
44;-7.9757977783004975e+01;-3.4768538658501249e+01;4.9293140491532803e+01
45;-8.4422594648124345e+01;-1.2267321411032317e+01;5.2176032220521662e+01
46;-8.4422594648124345e+01;1.2267321411032317e+01;5.2176032220521662e+01
47;-7.9757977783004975e+01;3.4768538658501249e+01;4.9293140491532803e+01
48;-6.3806382013753371e+01;-4.6358051390168626e+01;6.1479075185151046e+01
49;-6.9667427644451166e+01;-2.5308175209387162e+01;6.7126342019926312e+01
50;-7.2011778587041960e+01;0.0000000000000000e+00;6.9385183899236324e+01
51;-6.9667427644451166e+01;2.5308175209387162e+01;6.7126342019926312e+01
52;-5.0653556505165810e+01;-3.6801964026970445e+01;7.7973281687611092e+01
53;-5.4008833825646775e+01;-1.3079905253953708e+01;8.3138209911816517e+01
54;-5.4008833825646775e+01;1.3079905253953708e+01;8.3138209911816517e+01
55;-3.3769037670110528e+01;-2.4534642684646968e+01;9.0871906567273868e+01
56;-3.4833713753025975e+01;0.0000000000000000e+00;9.3736931815438936e+01
57;-1.5951595503438343e+01;-1.1589512847542156e+01;9.8036879758850645e+01
58;8.4202742070012384e+00;-8.6598414031569575e+01;4.9293140187005370e+01
59;-1.4421100291523329e+01;-8.4081469900323299e+01;5.2176031717473982e+01
60;-3.7754931489215863e+01;-7.6499848767025327e+01;5.2176031727862082e+01
61;-5.7713414463590297e+01;-6.5110276597135368e+01;4.9293140216447682e+01
62;2.4371869729799744e+01;-7.5008901367937213e+01;6.1479075151214957e+01
63;2.5410855728900072e+00;-7.4078317597768574e+01;6.7126341669983631e+01
64;-2.2252862946460407e+01;-6.8487271916020148e+01;6.9385183405300353e+01
65;-4.5597923016434578e+01;-5.8437005982336196e+01;6.7126341687952191e+01
66;1.9347937331747815e+01;-5.9546827513837478e+01;7.7973281667786978e+01
67;-4.2499184278901341e+00;-5.5407366798588995e+01;8.3138209613888719e+01
68;-2.9129376035587416e+01;-4.7323541212536398e+01;8.3138209620382824e+01
69;1.2898624887831877e+01;-3.9697885009224983e+01;9.0871906559713807e+01
70;-1.0764209374619535e+01;-3.3128830936237073e+01;9.3736931661632568e+01
71;6.0929674324499379e+00;-1.8752225341984307e+01;9.8036879757520580e+01
72;8.4961989919572005e+01;-1.8752225234108984e+01;4.9293146761753711e+01
73;7.5509861246764771e+01;-3.9697884625431996e+01;5.2176036748302579e+01
74;6.1088761467118161e+01;-5.9546826938148016e+01;5.2176034958702935e+01
75;4.4089125220139707e+01;-7.5008900936435936e+01;4.9293141689597945e+01
76;7.1237901145123146e+01;-2.0474743012374756e+01;6.7126346087172607e+01
77;5.8258750272177728e+01;-4.2327460935880190e+01;6.9385186224766798e+01
78;4.1486360369466844e+01;-6.1424229582974910e+01;6.7126342991650588e+01
79;5.1382237018042730e+01;-2.1163730344533882e+01;8.3138211653399992e+01
80;3.6005888222527048e+01;-4.2327461090954664e+01;8.3138210534630872e+01
81;2.8181065383113214e+01;-2.0474743082583146e+01;9.3736932153633617e+01
82;6.9899349042247010e+01;-6.5110276354741572e+01;-2.9575884035465506e+01
83;6.3552180774690214e+01;-7.6499848288403015e+01;-1.0435206305215806e+01
84;5.3116974483830383e+01;-8.4081469374266504e+01;1.0435206253275393e+01
85;4.0323464998399245e+01;-8.6598413709179312e+01;2.9575883986394970e+01
86;8.3523638510822906e+01;-4.6358051809107828e+01;-2.9575882782724410e+01
87;8.0431636478639959e+01;-5.8437006159809144e+01;-1.0764207562395887e+01
88;7.2011777454249085e+01;-6.8487271734516611e+01;1.1126433311811383e+01
89;5.8903217175181140e+01;-7.4078317169686102e+01;3.2292629681102682e+01
90;9.2394382628301599e+01;-3.6801964585900180e+01;-1.0435202985718549e+01
91;8.7388127680701416e+01;-4.7323541471687264e+01;1.1126435324888275e+01
92;7.6261695417912193e+01;-5.5407366580122051e+01;3.3379298084914346e+01
93;9.6380276213730255e+01;-2.4534643057266788e+01;1.0435211881776599e+01
94;8.8654759422183886e+01;-3.3128830996765210e+01;3.2292633658196166e+01
95;9.4820619329390226e+01;-1.1589512952276957e+01;2.9575891187246928e+01
96;7.9757977783004975e+01;3.4768538658501249e+01;-4.9293140491532803e+01
97;8.4422594648124345e+01;1.2267321411032317e+01;-5.2176032220521662e+01
98;8.4422594648124345e+01;-1.2267321411032317e+01;-5.2176032220521662e+01
99;7.9757977783004975e+01;-3.4768538658501249e+01;-4.9293140491532803e+01
100;8.3523638510822906e+01;4.6358051809107828e+01;-2.9575882782724410e+01
101;9.1195847014239718e+01;2.5308175482044987e+01;-3.2292626730035494e+01
102;9.4264642317564039e+01;0.0000000000000000e+00;-3.3379293113271835e+01
103;9.1195847014239718e+01;-2.5308175482044987e+01;-3.2292626730035494e+01
104;9.2394382628301599e+01;3.6801964585900180e+01;-1.0435202985718549e+01
105;9.8514560723076826e+01;1.3079905479793529e+01;-1.1126427916401353e+01
106;9.8514560723076826e+01;-1.3079905479793529e+01;-1.1126427916401353e+01
107;9.6380276213730255e+01;2.4534643057266788e+01;1.0435211881776599e+01
108;9.9418970393227553e+01;0.0000000000000000e+00;1.0764215064301805e+01
109;9.4820619329390226e+01;1.1589512952276957e+01;2.9575891187246928e+01
110;4.0323464998399245e+01;8.6598413709179312e+01;2.9575883986394970e+01
111;5.3116974483830383e+01;8.4081469374266504e+01;1.0435206253275393e+01
112;6.3552180774690214e+01;7.6499848288403015e+01;-1.0435206305215806e+01
113;6.9899349042247010e+01;6.5110276354741572e+01;-2.9575884035465506e+01
114;5.8903217175181155e+01;7.4078317169686102e+01;3.2292629681102682e+01
115;7.2011777454249085e+01;6.8487271734516611e+01;1.1126433311811383e+01
116;8.0431636478639959e+01;5.8437006159809144e+01;-1.0764207562395885e+01
117;7.6261695417912179e+01;5.5407366580122044e+01;3.3379298084914346e+01
118;8.7388127680701430e+01;4.7323541471687257e+01;1.1126435324888270e+01
119;8.8654759422183901e+01;3.3128830996765210e+01;3.2292633658196159e+01
120;-8.4202742070012384e+00;8.6598414031569575e+01;-4.9293140187005370e+01
121;1.4421100291523329e+01;8.4081469900323299e+01;-5.2176031717473982e+01
122;3.7754931489215863e+01;7.6499848767025327e+01;-5.2176031727862082e+01
123;5.7713414463590297e+01;6.5110276597135368e+01;-4.9293140216447682e+01
124;-1.8278902228332516e+01;9.3761126355899222e+01;-2.9575884057795527e+01
125;4.1115618733390296e+00;9.4553060466908249e+01;-3.2292627878556054e+01
126;2.9129375820461661e+01;8.9651002136136853e+01;-3.3379294185118582e+01
127;5.2250570154838641e+01;7.8911748836253608e+01;-3.2292627859905004e+01
128;-6.4493124029916000e+00;9.9244711893301726e+01;-1.0435206310569715e+01
129;1.8002944396075492e+01;9.7734827557323783e+01;-1.1126431387106912e+01
130;4.2882401737405146e+01;8.9651001923579571e+01;-1.1126431383427660e+01
131;6.4493124029916000e+00;9.9244711893301726e+01;1.0435206310569715e+01
132;3.0722151538281395e+01;9.4553060257087296e+01;1.0764209254677889e+01
133;1.8278902228332516e+01;9.3761126355899222e+01;2.9575884057795527e+01
134;-6.9899349042247010e+01;6.5110276354741572e+01;2.9575884035465506e+01
135;-6.3552180774690214e+01;7.6499848288403015e+01;1.0435206305215806e+01
136;-5.3116974483830383e+01;8.4081469374266504e+01;-1.0435206253275393e+01
137;-4.0323464998399245e+01;8.6598413709179312e+01;-2.9575883986394970e+01
138;-5.2250570154838641e+01;7.8911748836253608e+01;3.2292627859905004e+01
139;-4.2882401737405146e+01;8.9651001923579571e+01;1.1126431383427660e+01
140;-3.0722151538281395e+01;9.4553060257087296e+01;-1.0764209254677890e+01
141;-2.9129375820461668e+01;8.9651002136136825e+01;3.3379294185118582e+01
142;-1.8002944396075492e+01;9.7734827557323783e+01;1.1126431387106912e+01
143;-4.1115618733390296e+00;9.4553060466908249e+01;3.2292627878556054e+01
144;-8.4961989919572005e+01;1.8752225234108984e+01;-4.9293146761753711e+01
145;-7.5509861246764771e+01;3.9697884625431996e+01;-5.2176036748302579e+01
146;-6.1088761467118161e+01;5.9546826938148016e+01;-5.2176034958702935e+01
147;-4.4089125220139707e+01;7.5008900936435936e+01;-4.9293141689597945e+01
148;-9.4820619329390226e+01;1.1589512952276957e+01;-2.9575891187246928e+01
149;-8.8654759422183886e+01;3.3128830996765210e+01;-3.2292633658196166e+01
150;-7.6261695417912179e+01;5.5407366580122044e+01;-3.3379298084914346e+01
151;-5.8903217175181140e+01;7.4078317169686102e+01;-3.2292629681102682e+01
152;-9.6380276213730255e+01;2.4534643057266788e+01;-1.0435211881776599e+01
153;-8.7388127680701416e+01;4.7323541471687264e+01;-1.1126435324888272e+01
154;-7.2011777454249085e+01;6.8487271734516611e+01;-1.1126433311811383e+01
155;-9.2394382628301599e+01;3.6801964585900180e+01;1.0435202985718549e+01
156;-8.0431636478639959e+01;5.8437006159809144e+01;1.0764207562395883e+01
157;-8.3523638510822906e+01;4.6358051809107828e+01;2.9575882782724410e+01
158;-8.3523638510822906e+01;-4.6358051809107828e+01;2.9575882782724410e+01
159;-9.2394382628301599e+01;-3.6801964585900180e+01;1.0435202985718549e+01
160;-9.6380276213730255e+01;-2.4534643057266788e+01;-1.0435211881776599e+01
161;-9.4820619329390226e+01;-1.1589512952276957e+01;-2.9575891187246928e+01
162;-9.1195847014239718e+01;-2.5308175482044987e+01;3.2292626730035494e+01
163;-9.8514560723076826e+01;-1.3079905479793529e+01;1.1126427916401353e+01
164;-9.9418970393227553e+01;0.0000000000000000e+00;-1.0764215064301805e+01
165;-9.4264642317564039e+01;0.0000000000000000e+00;3.3379293113271835e+01
166;-9.8514560723076826e+01;1.3079905479793529e+01;1.1126427916401353e+01
167;-9.1195847014239718e+01;2.5308175482044987e+01;3.2292626730035494e+01
168;-4.4089125220139707e+01;-7.5008900936435936e+01;-4.9293141689597945e+01
169;-6.1088761467118161e+01;-5.9546826938148016e+01;-5.2176034958702935e+01
170;-7.5509861246764771e+01;-3.9697884625431996e+01;-5.2176036748302579e+01
171;-8.4961989919572005e+01;-1.8752225234108984e+01;-4.9293146761753711e+01
172;-4.0323464998399245e+01;-8.6598413709179312e+01;-2.9575883986394970e+01
173;-5.8903217175181155e+01;-7.4078317169686102e+01;-3.2292629681102682e+01
174;-7.6261695417912179e+01;-5.5407366580122044e+01;-3.3379298084914346e+01
175;-8.8654759422183901e+01;-3.3128830996765210e+01;-3.2292633658196159e+01
176;-5.3116974483830383e+01;-8.4081469374266504e+01;-1.0435206253275393e+01
177;-7.2011777454249085e+01;-6.8487271734516611e+01;-1.1126433311811383e+01
178;-8.7388127680701430e+01;-4.7323541471687257e+01;-1.1126435324888270e+01
179;-6.3552180774690214e+01;-7.6499848288403015e+01;1.0435206305215806e+01
180;-8.0431636478639959e+01;-5.8437006159809144e+01;1.0764207562395885e+01
181;-6.9899349042247010e+01;-6.5110276354741572e+01;2.9575884035465506e+01
182;1.8278902228332516e+01;-9.3761126355899222e+01;2.9575884057795527e+01
183;6.4493124029916000e+00;-9.9244711893301726e+01;1.0435206310569715e+01
184;-6.4493124029916000e+00;-9.9244711893301726e+01;-1.0435206310569715e+01
185;-1.8278902228332516e+01;-9.3761126355899222e+01;-2.9575884057795527e+01
186;-4.1115618733390296e+00;-9.4553060466908249e+01;3.2292627878556054e+01
187;-1.8002944396075492e+01;-9.7734827557323783e+01;1.1126431387106912e+01
188;-3.0722151538281395e+01;-9.4553060257087296e+01;-1.0764209254677889e+01
189;-2.9129375820461661e+01;-8.9651002136136853e+01;3.3379294185118582e+01
190;-4.2882401737405146e+01;-8.9651001923579571e+01;1.1126431383427660e+01
191;-5.2250570154838641e+01;-7.8911748836253608e+01;3.2292627859905004e+01
192;5.7713414463590297e+01;-6.5110276597135368e+01;-4.9293140216447682e+01
193;3.7754931489215863e+01;-7.6499848767025327e+01;-5.2176031727862082e+01
194;1.4421100291523329e+01;-8.4081469900323299e+01;-5.2176031717473982e+01
195;-8.4202742070012384e+00;-8.6598414031569575e+01;-4.9293140187005370e+01
196;5.2250570154838641e+01;-7.8911748836253608e+01;-3.2292627859905004e+01
197;2.9129375820461668e+01;-8.9651002136136825e+01;-3.3379294185118582e+01
198;4.1115618733390296e+00;-9.4553060466908249e+01;-3.2292627878556054e+01
199;4.2882401737405146e+01;-8.9651001923579571e+01;-1.1126431383427660e+01
200;1.8002944396075492e+01;-9.7734827557323783e+01;-1.1126431387106912e+01
201;3.0722151538281395e+01;-9.4553060257087296e+01;1.0764209254677890e+01
202;1.5951595503438343e+01;-1.1589512847542156e+01;-9.8036879758850645e+01
203;3.3769037670110528e+01;-2.4534642684646968e+01;-9.0871906567273868e+01
204;5.0653556505165810e+01;-3.6801964026970445e+01;-7.7973281687611092e+01
205;6.3806382013753371e+01;-4.6358051390168626e+01;-6.1479075185151046e+01
206;1.5951595503438343e+01;1.1589512847542156e+01;-9.8036879758850645e+01
207;3.4833713753025975e+01;0.0000000000000000e+00;-9.3736931815438936e+01
208;5.4008833825646775e+01;-1.3079905253953708e+01;-8.3138209911816517e+01
209;6.9667427644451166e+01;-2.5308175209387162e+01;-6.7126342019926312e+01
210;3.3769037670110528e+01;2.4534642684646968e+01;-9.0871906567273868e+01
211;5.4008833825646775e+01;1.3079905253953708e+01;-8.3138209911816517e+01
212;7.2011778587041960e+01;0.0000000000000000e+00;-6.9385183899236324e+01
213;5.0653556505165810e+01;3.6801964026970445e+01;-7.7973281687611092e+01
214;6.9667427644451166e+01;2.5308175209387162e+01;-6.7126342019926312e+01
215;6.3806382013753371e+01;4.6358051390168626e+01;-6.1479075185151046e+01
216;-2.4371869729799744e+01;7.5008901367937213e+01;-6.1479075151214957e+01
217;-1.9347937331747815e+01;5.9546827513837478e+01;-7.7973281667786978e+01
218;-1.2898624887831877e+01;3.9697885009224983e+01;-9.0871906559713807e+01
219;-6.0929674324499379e+00;1.8752225341984307e+01;-9.8036879757520580e+01
220;-2.5410855728900072e+00;7.4078317597768574e+01;-6.7126341669983631e+01
221;4.2499184278901341e+00;5.5407366798588995e+01;-8.3138209613888719e+01
222;1.0764209374619535e+01;3.3128830936237073e+01;-9.3736931661632568e+01
223;2.2252862946460407e+01;6.8487271916020148e+01;-6.9385183405300353e+01
224;2.9129376035587416e+01;4.7323541212536398e+01;-8.3138209620382824e+01
225;4.5597923016434578e+01;5.8437005982336196e+01;-6.7126341687952191e+01
226;-6.0929674324499379e+00;-1.8752225341984307e+01;-9.8036879757520580e+01
227;-1.2898624887831877e+01;-3.9697885009224983e+01;-9.0871906559713807e+01
228;-1.9347937331747815e+01;-5.9546827513837478e+01;-7.7973281667786978e+01
229;-2.4371869729799744e+01;-7.5008901367937213e+01;-6.1479075151214957e+01
230;1.0764209374619536e+01;-3.3128830936237073e+01;-9.3736931661632568e+01
231;4.2499184278901350e+00;-5.5407366798589010e+01;-8.3138209613888705e+01
232;-2.5410855728900072e+00;-7.4078317597768574e+01;-6.7126341669983631e+01
233;2.9129376035587416e+01;-4.7323541212536391e+01;-8.3138209620382824e+01
234;2.2252862946460407e+01;-6.8487271916020148e+01;-6.9385183405300353e+01
235;4.5597923016434578e+01;-5.8437005982336196e+01;-6.7126341687952191e+01
236;-7.8869021800064431e+01;0.0000000000000000e+00;-6.1479080997530858e+01
237;-6.2611235520230402e+01;0.0000000000000000e+00;-7.7973285082970818e+01
238;-4.1740823680153611e+01;0.0000000000000000e+00;-9.0871907862123862e+01
239;-1.9717255450016115e+01;0.0000000000000000e+00;-9.8036879986660182e+01
240;-7.1237901145123146e+01;2.0474743012374756e+01;-6.7126346087172607e+01
241;-5.1382237018042730e+01;2.1163730344533882e+01;-8.3138211653399992e+01
242;-2.8181065383113214e+01;2.0474743082583146e+01;-9.3736932153633617e+01
243;-5.8258750272177728e+01;4.2327460935880190e+01;-6.9385186224766798e+01
244;-3.6005888222527048e+01;4.2327461090954664e+01;-8.3138210534630872e+01
245;-4.1486360369466844e+01;6.1424229582974910e+01;-6.7126342991650588e+01
246;-4.1486360369466844e+01;-6.1424229582974910e+01;-6.7126342991650588e+01
247;-3.6005888222527048e+01;-4.2327461090954664e+01;-8.3138210534630872e+01
248;-2.8181065383113214e+01;-2.0474743082583146e+01;-9.3736932153633617e+01
249;-5.8258750272177743e+01;-4.2327460935880197e+01;-6.9385186224766798e+01
250;-5.1382237018042744e+01;-2.1163730344533882e+01;-8.3138211653399992e+01
251;-7.1237901145123146e+01;-2.0474743012374756e+01;-6.7126346087172607e+01
